log_id,timestamp,user_id,event_type,session_id
1,2024-01-10 16:25:01.038022,User_2,purchase,66
2,2024-01-04 15:10:07.778403,User_127,click,441
3,2024-01-08 06:28:23.273331,User_297,click,336
4,2024-01-06 05:56:51.484799,User_181,logout,291
5,2024-01-03 18:13:10.610923,User_204,purchase,627
6,2024-01-09 14:39:31.99135,User_286,logout,913
7,2024-01-04 08:40:29.609631,User_279,login,678
8,2024-01-08 15:54:29.79351,User_247,purchase,760
9,2024-01-06 20:10:15.777827,User_473,page_view,331
10,2024-01-07 22:05:44.888334,User_36,purchase,797
11,2024-01-01 20:06:49.075542,User_277,page_view,930
12,2024-01-09 19:51:43.708845,User_214,click,91
13,2024-01-02 04:28:39.374753,User_332,page_view,211
14,2024-01-07 16:39:05.169277,User_243,click,255
15,2024-01-02 09:13:35.458201,User_156,,378
16,2024-01-03 19:26:19.897686,User_427,logout,724
17,2024-01-06 07:24:16.97093,User_347,,659
18,2024-01-03 11:46:31.409021,User_30,page_view,355
19,2024-01-07 09:10:03.088921,User_174,login,606
20,2024-01-07 09:37:31.467196,User_457,,849
21,2024-01-01 23:42:30.197876,User_214,page_view,891
22,2024-01-03 14:56:35.300775,User_89,login,842
23,2024-01-09 10:03:13.186994,User_153,logout,109
24,2024-01-05 23:15:40.636071,User_385,,249
25,2024-01-03 16:09:25.300638,User_158,purchase,669
26,2024-01-10 17:44:27.181789,User_240,logout,987
27,2024-01-10 02:44:09.58737,User_263,page_view,515
28,2024-01-06 12:57:58.500518,User_71,logout,570
29,2024-01-03 10:34:20.413934,User_257,page_view,503
30,2024-01-07 07:41:54.064515,User_285,page_view,173
31,2024-01-08 18:44:33.888272,User_344,login,452
32,2024-01-07 02:54:01.857477,User_437,page_view,746
33,2024-01-07 17:39:18.827097,User_335,page_view,938
34,2024-01-04 13:34:29.286225,User_284,logout,182
35,2024-01-02 18:35:14.626645,User_270,click,951
36,2024-01-07 05:40:42.425508,User_203,login,294
37,2024-01-06 06:16:46.640607,User_326,,853
38,2024-01-08 03:10:40.181924,User_378,,392
39,2024-01-03 09:00:44.59276,User_57,page_view,217
40,2024-01-01 22:06:02.223594,User_185,click,95
41,2024-01-05 13:41:27.33239,User_456,logout,321
42,2024-01-09 18:15:35.721765,User_440,page_view,750
43,2024-01-10 01:37:23.623244,User_266,page_view,850
44,2024-01-10 20:30:05.758138,User_59,page_view,194
45,2024-01-07 14:46:15.699483,User_212,login,545
46,2024-01-01 08:03:32.972119,User_19,purchase,509
47,2024-01-06 19:34:59.168719,User_162,click,629
48,2024-01-05 15:54:21.877329,User_269,click,359
49,2024-01-08 04:47:01.040112,User_332,logout,660
50,2024-01-03 06:44:09.438792,User_122,,101
51,2024-01-05 05:05:38.31061,User_304,page_view,757
52,2024-01-02 13:10:19.147893,User_8,logout,498
53,2024-01-09 18:41:08.67932,User_74,purchase,779
54,2024-01-07 14:25:04.469433,User_222,click,879
55,2024-01-09 05:55:00.866747,User_165,login,1000
56,2024-01-03 02:46:57.967293,User_279,login,417
57,2024-01-03 07:52:35.414372,User_415,click,978
58,2024-01-06 16:47:34.816548,User_222,page_view,83
59,2024-01-08 17:35:42.931706,User_316,,603
60,2024-01-04 21:01:09.599434,User_473,click,601
61,2024-01-05 02:37:00.139361,User_497,purchase,144
62,2024-01-03 13:52:29.388419,User_270,purchase,287
63,2024-01-01 06:05:21.02926,User_53,page_view,217
64,2024-01-10 20:32:26.182266,User_232,click,185
65,2024-01-08 19:55:34.06181,User_187,click,203
66,2024-01-03 05:33:25.799069,User_50,login,469
67,2024-01-08 20:27:02.239444,User_495,,755
68,2024-01-05 04:07:45.319182,User_327,,301
69,2024-01-09 03:47:36.907682,User_262,purchase,380
70,2024-01-06 21:00:37.88202,User_47,logout,66
71,2024-01-01 12:57:27.384487,User_258,purchase,28
72,2024-01-02 18:51:52.532711,User_482,,300
73,2024-01-08 21:04:48.6617,User_350,login,753
74,2024-01-08 15:35:12.335149,User_118,login,740
75,2024-01-01 11:19:31.607303,User_464,page_view,601
76,2024-01-10 12:21:24.217549,User_132,purchase,235
77,2024-01-07 05:13:38.906958,User_114,logout,770
78,2024-01-05 05:30:00.197069,User_253,logout,577
79,2024-01-04 15:18:13.809512,User_480,page_view,292
80,2024-01-03 20:15:48.804898,User_34,purchase,330
81,2024-01-05 03:30:15.636124,User_480,purchase,956
82,2024-01-06 04:28:15.618191,User_271,logout,479
83,2024-01-10 04:28:33.598747,User_426,page_view,776
84,2024-01-10 02:55:01.069918,User_412,purchase,761
85,2024-01-04 06:35:32.175562,User_497,page_view,131
86,2024-01-02 20:16:58.305603,User_231,page_view,853
87,2024-01-04 09:24:28.236704,User_425,click,698
88,2024-01-09 01:48:15.323393,User_281,click,147
89,2024-01-07 02:42:51.671156,User_493,purchase,189
90,2024-01-05 01:00:42.897642,User_140,,824
91,2024-01-06 21:58:03.279136,User_371,click,832
92,2024-01-01 09:02:10.344221,User_226,login,868
93,2024-01-10 20:55:27.100898,User_472,click,865
94,2024-01-08 17:23:53.850395,User_6,page_view,527
95,2024-01-01 23:41:42.993447,User_245,purchase,975
96,2024-01-03 07:37:52.562365,User_430,page_view,273
97,2024-01-10 03:37:19.435558,User_397,page_view,738
98,2024-01-06 10:09:05.794119,User_152,page_view,615
99,2024-01-03 11:09:40.306136,User_350,logout,233
100,2024-01-08 12:48:25.589879,User_367,logout,26
101,2024-01-04 09:43:42.363631,User_400,click,863
102,2024-01-02 13:17:47.625547,User_431,page_view,318
103,2024-01-02 01:58:40.846323,User_196,click,52
104,2024-01-05 09:42:50.383918,User_47,click,232
105,2024-01-04 06:19:47.097281,User_139,page_view,810
106,2024-01-07 18:30:52.972573,User_73,purchase,716
107,2024-01-04 23:11:15.347333,User_321,click,773
108,2024-01-09 10:44:11.238424,User_248,logout,725
109,2024-01-05 21:31:39.1904,User_382,logout,622
110,2024-01-09 09:58:38.803282,User_324,page_view,582
111,2024-01-01 15:35:54.025007,User_477,purchase,548
112,2024-01-07 07:48:10.80903,User_232,logout,823
113,2024-01-10 08:43:10.259757,User_463,purchase,480
114,2024-01-08 00:12:50.435559,User_19,login,474
115,2024-01-04 08:18:34.863561,User_295,purchase,882
116,2024-01-09 06:01:17.582473,User_462,click,348
117,2024-01-09 18:50:10.186873,User_67,click,307
118,2024-01-06 08:57:33.260251,User_25,,450
119,2024-01-01 08:15:35.362782,User_343,purchase,806
120,2024-01-06 20:56:31.841884,User_341,logout,866
121,2024-01-03 16:15:39.692164,User_273,click,912
122,2024-01-08 15:09:43.530221,User_25,click,108
123,2024-01-01 11:04:31.325789,User_340,login,756
124,2024-01-10 09:52:15.18722,User_270,,463
125,2024-01-08 06:21:18.025307,User_348,page_view,28
126,2024-01-08 18:34:21.270447,User_188,,390
