log_id,timestamp,user_id,event_type,session_id
10001,2024-03-10 17:01:38.050121,User_265,,96
10002,2024-03-08 23:52:47.429451,User_367,logout,833
10003,2024-03-10 22:21:49.621859,User_136,login,85
10004,2024-03-04 16:33:35.56076,User_352,purchase,73
10005,2024-03-05 23:44:45.073794,User_227,logout,81
10006,2024-03-02 06:23:07.168289,User_372,purchase,700
10007,2024-03-10 21:42:41.714735,User_290,logout,476
10008,2024-03-09 12:44:53.921322,User_450,,174
10009,2024-03-09 18:18:03.921837,User_26,login,674
10010,2024-03-09 16:22:22.15819,User_82,page_view,810
10011,2024-03-06 21:41:24.708154,User_387,login,200
10012,2024-03-02 14:54:52.088202,User_98,logout,319
10013,2024-03-09 16:26:13.109982,User_406,login,356
10014,2024-03-03 18:55:02.048465,User_421,logout,444
10015,2024-03-01 23:15:52.749754,User_345,purchase,145
10016,2024-03-05 23:39:45.551115,User_433,logout,511
10017,2024-03-03 00:42:45.526886,User_85,purchase,202
10018,2024-03-05 07:05:55.307145,User_307,logout,706
10019,2024-03-07 23:59:28.817653,User_52,login,938
10020,2024-03-09 22:36:37.597664,User_229,click,822
10021,2024-03-07 09:17:56.861039,User_197,page_view,573
10022,2024-03-10 08:07:06.932842,User_401,purchase,918
10023,2024-03-10 14:04:23.340418,User_182,page_view,37
10024,2024-03-09 03:31:37.164658,User_424,purchase,895
10025,2024-03-05 06:12:32.514093,User_406,logout,924
10026,2024-03-01 16:21:39.315679,User_429,click,667
10027,2024-03-03 06:31:35.027915,User_343,purchase,517
10028,2024-03-06 00:59:14.157084,User_169,page_view,824
10029,2024-03-08 06:50:33.906898,User_104,,218
10030,2024-03-03 16:13:05.179129,User_173,purchase,777
10031,2024-03-10 19:47:03.367737,User_143,logout,347
10032,2024-03-01 21:47:19.711664,User_176,page_view,601
10033,2024-03-02 03:13:25.995526,User_414,logout,121
10034,2024-03-10 21:24:05.53508,User_6,purchase,3
10035,2024-03-05 20:47:03.039756,User_283,login,16
10036,2024-03-02 05:02:23.186612,User_303,purchase,872
10037,2024-03-05 06:23:49.284098,User_251,,699
10038,2024-03-01 19:45:11.258161,User_287,click,640
10039,2024-03-01 04:49:37.164556,User_334,purchase,933
10040,2024-03-07 22:31:12.14059,User_482,page_view,838
10041,2024-03-04 12:30:49.695319,User_363,page_view,646
10042,2024-03-05 07:20:43.993671,User_378,logout,340
10043,2024-03-06 05:05:07.140504,User_223,purchase,135
10044,2024-03-09 07:32:05.213272,User_199,logout,96
10045,2024-03-01 22:53:30.663148,User_152,,267
10046,2024-03-01 03:30:45.901279,User_483,logout,348
10047,2024-03-09 14:56:42.144055,User_136,page_view,397
10048,2024-03-05 02:33:14.414118,User_68,logout,799
10049,2024-03-03 01:50:01.012718,User_102,,884
10050,2024-03-02 04:56:34.68651,User_474,login,581
10051,2024-03-04 02:42:53.519546,User_95,login,658
10052,2024-03-09 02:57:08.511116,User_344,login,910
10053,2024-03-09 13:39:29.83017,User_88,logout,894
10054,2024-03-03 20:50:28.382495,User_354,,876
10055,2024-03-03 20:28:54.013631,User_324,click,253
10056,2024-03-03 13:33:24.6512,User_279,login,467
10057,2024-03-04 20:04:13.227278,User_293,click,188
10058,2024-03-05 17:29:33.783498,User_381,logout,438
10059,2024-03-07 10:24:10.348272,User_342,purchase,431
10060,2024-03-03 00:41:10.885803,User_108,login,965
10061,2024-03-01 12:29:35.573611,User_37,click,57
10062,2024-03-05 06:18:49.013565,User_383,login,305
10063,2024-03-03 04:22:15.332541,User_479,purchase,440
10064,2024-03-09 08:43:35.765825,User_193,click,425
10065,2024-03-06 15:36:30.567843,User_68,,143
10066,2024-03-01 00:37:02.66843,User_85,click,672
10067,2024-03-06 16:17:24.843944,User_463,page_view,746
10068,2024-03-08 09:51:03.399461,User_324,click,486
10069,2024-03-05 13:17:10.537045,User_222,purchase,317
10070,2024-03-02 07:15:43.857128,User_351,login,899
10071,2024-03-09 08:29:28.374659,User_64,logout,354
10072,2024-03-05 06:03:56.646721,User_151,click,429
10073,2024-03-02 20:45:57.202877,User_26,logout,840
10074,2024-03-06 19:00:25.540125,User_294,page_view,643
10075,2024-03-03 23:52:37.902151,User_176,page_view,336
10076,2024-03-03 05:40:29.097008,User_454,click,644
10077,2024-03-01 02:21:32.965334,User_18,login,245
10078,2024-03-06 01:36:58.345453,User_444,login,435
10079,2024-03-01 21:59:39.719632,User_324,,957
10080,2024-03-05 19:44:11.685507,User_29,click,98
10081,2024-03-04 09:22:23.851805,User_165,purchase,615
10082,2024-03-02 00:58:19.340321,User_461,login,930
10083,2024-03-08 15:25:28.125602,User_180,,643
10084,2024-03-07 14:04:39.524266,User_442,purchase,956
10085,2024-03-03 03:19:35.836181,User_138,logout,484
10086,2024-03-09 14:25:52.652535,User_260,purchase,195
10087,2024-03-04 09:44:06.000654,User_452,logout,249
10088,2024-03-02 09:49:24.355462,User_91,,160
10089,2024-03-06 01:54:20.028568,User_78,purchase,503
